# Brigantine NWR (NJ) weekly waterfowl counts, USFWS Form NR-1 census sheets.
# Now the Brigantine Division of Edwin B. Forsythe NWR, Oceanville NJ.
# Source: National Archives RG-22, nara-media S3, BRIGANTINE_<year>_NARRATIVEREPORT.
# DUCKS ONLY, teal excluded to match the rest of the anchor cloud; geese, swans,
# coot and brant appear on the form but are not counted here.
# Week 1 begins SEP 1 at this refuge -- verified independently on both sheets of
# 1965: the primary prints 9/1-9/7 first, the continuation prints 11/10-11/16 for
# week 11 (Sep 1 + 70 days) and 12/29-31 for week 18 (Sep 1 + 119 days).
# median_err is the sheet's own per-species 'estimated waterfowl days use' column
# checked against sum(weekly counts)*7; n_cols is how many week columns OCR'd.
season,week,week_start,ducks_teal_excluded,n_cols,median_err
1954,1,1954-09-01,625,10,
1954,2,1954-09-08,625,10,
1954,3,1954-09-15,650,10,
1954,4,1954-09-22,1675,10,
1954,5,1954-09-29,2100,10,
1954,6,1954-10-06,2650,10,
1954,7,1954-10-13,7150,10,
1954,8,1954-10-20,7350,10,
1954,9,1954-10-27,8500,10,
1954,10,1954-11-03,22000,10,
1954,11,1954-11-10,1100,10,
1954,12,1954-11-17,23100,10,
1954,13,1954-11-24,24500,10,
1954,14,1954-12-01,16800,10,
1954,15,1954-12-08,19088,10,
1954,16,1954-12-15,27388,10,
1954,17,1954-12-22,26389,10,
1955,1,1955-09-01,615,9,0.1356
1955,2,1955-09-08,680,9,0.1356
1955,3,1955-09-15,1900,9,0.1356
1955,4,1955-09-22,4900,9,0.1356
1955,5,1955-09-29,7533,9,0.1356
1955,6,1955-10-06,12429,9,0.1356
1955,7,1955-10-13,16907,9,0.1356
1955,8,1955-10-20,7800,9,0.1356
1955,9,1955-10-27,50600,9,0.1356
1955,11,1955-11-10,15900,9,0.1356
1955,12,1955-11-17,17900,9,0.1356
1955,13,1955-11-24,5000,9,0.1356
1955,14,1955-12-01,4250,9,0.1356
1955,15,1955-12-08,3450,9,0.1356
1955,16,1955-12-15,2950,9,0.1356
1955,17,1955-12-22,2960,9,0.1356
1956,1,1956-09-01,1700,10,0.5877
1956,2,1956-09-08,1750,10,0.5877
1956,3,1956-09-15,3350,10,0.5877
1956,4,1956-09-22,5350,10,0.5877
1956,5,1956-09-29,6375,10,0.5877
1956,6,1956-10-06,11560,10,0.5877
1956,7,1956-10-13,17610,10,0.5877
1956,8,1956-10-20,23510,10,0.5877
1956,9,1956-10-27,27600,10,0.5877
1956,10,1956-11-03,31120,10,0.5877
1956,11,1956-11-10,6485,10,0.5877
1956,12,1956-11-17,12120,10,0.5877
1956,13,1956-11-24,3380,10,0.5877
1956,14,1956-12-01,5835,10,0.5877
1956,15,1956-12-08,5585,10,0.5877
1956,16,1956-12-15,4725,10,0.5877
1956,17,1956-12-22,6425,10,0.5877
1957,1,1957-09-01,1835,9,0.1254
1957,2,1957-09-08,5175,9,0.1254
1957,3,1957-09-15,9350,9,0.1254
1957,4,1957-09-22,16125,9,0.1254
1957,5,1957-09-29,25000,9,0.1254
1957,6,1957-10-06,29175,9,0.1254
1957,7,1957-10-13,47000,9,0.1254
1957,8,1957-10-20,49235,9,0.1254
1957,9,1957-10-27,54870,9,0.1254
1957,11,1957-11-10,59600,9,0.1254
1957,12,1957-11-17,70800,9,0.1254
1957,13,1957-11-24,30750,9,0.1254
1957,14,1957-12-01,62025,9,0.1254
1957,15,1957-12-08,43500,9,0.1254
1957,16,1957-12-15,52125,9,0.1254
1957,17,1957-12-22,50,9,0.1254
1958,1,1958-09-01,850,9,0.0769
1958,2,1958-09-08,1700,9,0.0769
1958,3,1958-09-15,4400,9,0.0769
1958,4,1958-09-22,11020,9,0.0769
1958,5,1958-09-29,20260,9,0.0769
1958,6,1958-10-06,38235,9,0.0769
1958,7,1958-10-13,37000,9,0.0769
1958,8,1958-10-20,54300,9,0.0769
1958,9,1958-10-27,60900,9,0.0769
1958,11,1958-11-10,4750,9,0.0769
1958,12,1958-11-17,3350,9,0.0769
1958,13,1958-11-24,2950,9,0.0769
1958,14,1958-12-01,2300,9,0.0769
1958,15,1958-12-08,1250,9,0.0769
1958,16,1958-12-15,900,9,0.0769
1958,17,1958-12-22,2110,9,0.0769
1958,18,1958-12-29,2100,9,0.0769
1959,1,1959-09-01,2750,10,0.0383
1959,2,1959-09-08,4225,10,0.0383
1959,3,1959-09-15,6375,10,0.0383
1959,4,1959-09-22,10450,10,0.0383
1959,5,1959-09-29,20250,10,0.0383
1959,6,1959-10-06,19750,10,0.0383
1959,7,1959-10-13,29350,10,0.0383
1959,8,1959-10-20,63560,10,0.0383
1959,9,1959-10-27,67700,10,0.0383
1959,10,1959-11-03,64700,10,0.0383
1959,11,1959-11-10,70700,10,0.0383
1959,12,1959-11-17,69000,10,0.0383
1959,13,1959-11-24,69000,10,0.0383
1959,14,1959-12-01,65950,10,0.0383
1959,15,1959-12-08,45400,10,0.0383
1959,16,1959-12-15,46200,10,0.0383
1959,17,1959-12-22,41250,10,0.0383
1959,18,1959-12-29,47800,10,0.0383
1961,1,1961-09-01,4251,10,
1961,2,1961-09-08,186,10,
1961,3,1961-09-15,5061,10,
1961,4,1961-09-22,5626,10,
1961,5,1961-09-29,20800,10,
1961,6,1961-10-06,23102,10,
1961,7,1961-10-13,41867,10,
1961,8,1961-10-20,45267,10,
1961,9,1961-10-27,70527,10,
1961,10,1961-11-03,69820,10,
1962,1,1962-09-01,6750,10,0.4789
1962,2,1962-09-08,175,10,0.4789
1962,3,1962-09-15,13550,10,0.4789
1962,4,1962-09-22,17125,10,0.4789
1962,5,1962-09-29,43244,10,0.4789
1962,6,1962-10-06,59160,10,0.4789
1962,7,1962-10-13,82110,10,0.4789
1962,8,1962-10-20,74985,10,0.4789
1962,9,1962-10-27,78337,10,0.4789
1962,10,1962-11-03,73190,10,0.4789
1962,11,1962-11-10,70028,10,0.4789
1962,12,1962-11-17,64235,10,0.4789
1962,13,1962-11-24,42760,10,0.4789
1962,14,1962-12-01,38050,10,0.4789
1962,15,1962-12-08,13410,10,0.4789
1962,16,1962-12-15,12550,10,0.4789
1962,17,1962-12-22,8954,10,0.4789
1962,18,1962-12-29,8954,10,0.4789
1963,1,1963-09-01,14850,10,0.0575
1963,2,1963-09-08,19900,10,0.0575
1963,3,1963-09-15,22300,10,0.0575
1963,4,1963-09-22,37750,10,0.0575
1963,5,1963-09-29,20550,10,0.0575
1963,6,1963-10-06,26150,10,0.0575
1963,7,1963-10-13,21200,10,0.0575
1963,8,1963-10-20,51400,10,0.0575
