# Great Lakes Migrant Waterfowl Survey (ECCC / Canadian Wildlife Service).
# Source: https://open.canada.ca/data/en/dataset/b188cade-c51a-406a-ac43-8103622cc389
# Aerial shoreline/nearshore counts, Ontario. Ducks only, TEAL EXCLUDED to match
# the rest of the anchor cloud; geese, swans, coot, cormorants and the SURV
# survey-placeholder rows are dropped.
# Sectors are grouped into clusters by coordinate box; lat/lng is the cluster
# centroid from the GLMWS_Sectors geodatabase layer (EPSG:4269).
# 'sectors' = how many sectors were flown that date (survey effort).
cluster,flyway,latitude,longitude,survey_date,sectors,ducks_teal_excluded
Long Point ON,Mississippi,42.608,-80.367,1971-09-30,4,23117
Long Point ON,Mississippi,42.608,-80.367,1971-10-15,4,25334
Long Point ON,Mississippi,42.608,-80.367,1971-11-19,4,141857
Long Point ON,Mississippi,42.608,-80.367,1971-12-16,4,11960
Long Point ON,Mississippi,42.608,-80.367,1972-01-05,4,5244
Long Point ON,Mississippi,42.608,-80.367,1974-09-17,3,4369
Long Point ON,Mississippi,42.608,-80.367,1974-09-26,4,16710
Long Point ON,Mississippi,42.608,-80.367,1974-10-10,4,41155
Long Point ON,Mississippi,42.608,-80.367,1974-10-23,4,81137
Long Point ON,Mississippi,42.608,-80.367,1974-11-04,4,120481
Long Point ON,Mississippi,42.608,-80.367,1974-11-22,4,71118
Long Point ON,Mississippi,42.608,-80.367,1974-12-04,4,15397
Long Point ON,Mississippi,42.608,-80.367,1974-12-18,4,6560
Long Point ON,Mississippi,42.608,-80.367,1975-01-02,4,6877
Long Point ON,Mississippi,42.608,-80.367,1975-09-26,4,15889
Long Point ON,Mississippi,42.608,-80.367,1975-10-10,4,40791
Long Point ON,Mississippi,42.608,-80.367,1975-10-23,4,81193
Long Point ON,Mississippi,42.608,-80.367,1975-11-04,4,120347
Long Point ON,Mississippi,42.608,-80.367,1975-11-22,4,70967
Long Point ON,Mississippi,42.608,-80.367,1975-12-04,4,15413
Long Point ON,Mississippi,42.608,-80.367,1978-09-01,4,5366
Long Point ON,Mississippi,42.608,-80.367,1978-09-22,4,23143
Long Point ON,Mississippi,42.608,-80.367,1978-09-29,4,30951
Long Point ON,Mississippi,42.608,-80.367,1978-10-13,4,62254
Long Point ON,Mississippi,42.608,-80.367,1978-10-26,4,167819
Long Point ON,Mississippi,42.608,-80.367,1978-11-14,4,88515
Long Point ON,Mississippi,42.608,-80.367,1978-12-05,4,34077
Long Point ON,Mississippi,42.608,-80.367,1979-09-01,4,3972
Long Point ON,Mississippi,42.608,-80.367,1979-09-22,4,22381
Long Point ON,Mississippi,42.608,-80.367,1979-09-29,4,30869
Long Point ON,Mississippi,42.608,-80.367,1979-10-13,4,62078
Long Point ON,Mississippi,42.608,-80.367,1979-10-26,4,166993
Long Point ON,Mississippi,42.608,-80.367,1979-11-14,4,88070
Long Point ON,Mississippi,42.608,-80.367,1979-12-05,4,33447
Long Point ON,Mississippi,42.608,-80.367,1984-09-19,4,5109
Long Point ON,Mississippi,42.608,-80.367,1984-09-27,4,10160
Long Point ON,Mississippi,42.608,-80.367,1984-10-18,4,25258
Long Point ON,Mississippi,42.608,-80.367,1984-10-25,4,39226
Long Point ON,Mississippi,42.608,-80.367,1984-11-08,4,77967
Long Point ON,Mississippi,42.608,-80.367,1984-12-05,4,29242
Long Point ON,Mississippi,42.608,-80.367,1985-01-09,3,2746
Long Point ON,Mississippi,42.608,-80.367,1986-09-24,4,6940
Long Point ON,Mississippi,42.608,-80.367,1986-10-07,4,7550
Long Point ON,Mississippi,42.608,-80.367,1986-10-24,4,45105
Long Point ON,Mississippi,42.608,-80.367,1986-11-05,4,76758
Long Point ON,Mississippi,42.608,-80.367,1986-11-20,4,42868
Long Point ON,Mississippi,42.608,-80.367,1987-01-06,4,289
Long Point ON,Mississippi,42.608,-80.367,1987-09-01,4,3718
Long Point ON,Mississippi,42.608,-80.367,1987-09-21,4,2321
Long Point ON,Mississippi,42.608,-80.367,1987-10-13,4,32507
Long Point ON,Mississippi,42.608,-80.367,1987-10-23,4,31147
Long Point ON,Mississippi,42.608,-80.367,1987-11-04,4,66886
Long Point ON,Mississippi,42.608,-80.367,1987-11-23,4,29531
Long Point ON,Mississippi,42.608,-80.367,1987-12-11,4,7186
Long Point ON,Mississippi,42.608,-80.367,1987-12-14,4,31387
Long Point ON,Mississippi,42.608,-80.367,1988-01-07,3,847
Long Point ON,Mississippi,42.608,-80.367,1991-09-20,4,7802
Long Point ON,Mississippi,42.608,-80.367,1991-10-13,4,55121
Long Point ON,Mississippi,42.608,-80.367,1991-11-17,4,42452
Long Point ON,Mississippi,42.608,-80.367,1991-12-01,4,60126
Long Point ON,Mississippi,42.608,-80.367,1992-09-11,4,1187
Long Point ON,Mississippi,42.608,-80.367,1992-09-22,4,4990
Long Point ON,Mississippi,42.608,-80.367,1992-10-25,4,31467
Long Point ON,Mississippi,42.608,-80.367,1992-11-19,4,10711
Long Point ON,Mississippi,42.608,-80.367,1992-12-04,4,26660
Long Point ON,Mississippi,42.608,-80.367,1992-12-19,4,11836
Long Point ON,Mississippi,42.608,-80.367,1993-09-16,3,2452
Long Point ON,Mississippi,42.608,-80.367,1993-10-12,4,89937
Long Point ON,Mississippi,42.608,-80.367,1993-10-26,4,129146
Long Point ON,Mississippi,42.608,-80.367,1993-11-11,4,109668
Long Point ON,Mississippi,42.608,-80.367,1993-12-07,4,23437
Long Point ON,Mississippi,42.608,-80.367,1994-09-20,4,4825
Long Point ON,Mississippi,42.608,-80.367,1994-10-11,4,26588
Long Point ON,Mississippi,42.608,-80.367,1994-11-02,4,106692
Long Point ON,Mississippi,42.608,-80.367,1994-11-15,4,98321
Long Point ON,Mississippi,42.608,-80.367,1994-12-06,4,40103
Long Point ON,Mississippi,42.608,-80.367,1995-10-01,4,8791
Long Point ON,Mississippi,42.608,-80.367,1995-10-26,4,74482
Long Point ON,Mississippi,42.608,-80.367,1995-11-09,4,55918
Long Point ON,Mississippi,42.608,-80.367,1995-11-28,4,40169
Long Point ON,Mississippi,42.608,-80.367,1995-12-13,4,308
Long Point ON,Mississippi,42.608,-80.367,1996-10-01,4,11975
Long Point ON,Mississippi,42.608,-80.367,1996-10-17,4,50577
Long Point ON,Mississippi,42.608,-80.367,1996-10-31,4,57332
Long Point ON,Mississippi,42.608,-80.367,1996-11-28,4,40169
