# Illinois Natural History Survey / Illinois DNR waterfowl aerial inventory.
# Source: huntillinois.org/survey-data (2021-2026) and
#   dnr.illinois.gov/hunting/waterfowlhunting/oldwaterfowlsurveys.html (2018-2020).
# Weekly-to-biweekly aerial counts, Illinois River (IR) Spring Valley-Grafton and
# central Mississippi River (MR) Alton-Moline. Started by Frank Bellrose in 1938;
# the longest continuous waterfowl inventory known.
# ducks_teal_excluded = printed TOTAL DUCKS minus the BWTE and AGWT columns, so
# teal exclusion is exact rather than approximated.
region,site,survey_date,ducks_teal_excluded
MR,Batchtown Refuge,2018-10-18,90
MR,Batchtown Refuge,2018-10-24,305
MR,Batchtown Refuge,2018-11-02,2500
MR,Batchtown Refuge,2018-11-09,8910
MR,Batchtown Refuge,2018-11-20,9700
MR,Batchtown Refuge,2018-11-29,30000
MR,Batchtown Refuge,2018-12-07,40500
MR,Batchtown Refuge,2018-12-11,0
MR,Batchtown Refuge,2018-12-17,2300
MR,Batchtown Refuge,2019-01-03,17500
MR,Batchtown Refuge,2019-01-10,8200
MR,Batchtown Refuge,2019-10-24,3730
MR,Batchtown Refuge,2019-10-28,2330
MR,Batchtown Refuge,2019-11-05,1470
MR,Batchtown Refuge,2019-11-14,12525
MR,Batchtown Refuge,2019-11-25,1220
MR,Batchtown Refuge,2019-12-02,1200
MR,Batchtown Refuge,2019-12-18,25100
MR,Batchtown Refuge,2019-12-23,10000
MR,Batchtown Refuge,2020-01-02,1730
MR,Batchtown Refuge,2020-01-08,650
MR,Batchtown Refuge,2020-10-21,0
MR,Batchtown Refuge,2020-10-28,4460
MR,Batchtown Refuge,2020-11-03,3500
MR,Batchtown Refuge,2020-11-09,15700
MR,Batchtown Refuge,2020-11-17,29250
MR,Batchtown Refuge,2020-11-23,34500
MR,Batchtown Refuge,2020-12-02,-4500
MR,Batchtown Refuge,2020-12-10,11000
MR,Batchtown Refuge,2020-12-15,35000
MR,Batchtown Refuge,2020-12-22,6010
MR,Batchtown Refuge,2020-12-31,8000
MR,Batchtown Refuge,2021-01-05,17600
MR,Batchtown Refuge,2021-09-17,1130
MR,Batchtown Refuge,2021-10-19,6785
MR,Batchtown Refuge,2021-10-26,2180
MR,Batchtown Refuge,2021-11-01,10880
MR,Batchtown Refuge,2021-11-09,4730
MR,Batchtown Refuge,2021-11-15,4900
MR,Batchtown Refuge,2021-11-22,11100
MR,Batchtown Refuge,2021-11-30,15990
MR,Batchtown Refuge,2021-12-07,23100
MR,Batchtown Refuge,2021-12-14,15300
MR,Batchtown Refuge,2021-12-22,24900
MR,Batchtown Refuge,2022-01-07,10075
MR,Batchtown Refuge,2022-03-08,995
MR,Batchtown Refuge,2022-03-15,670
MR,Batchtown Refuge,2022-08-31,0
MR,Batchtown Refuge,2022-09-08,0
MR,Batchtown Refuge,2022-09-13,0
MR,Batchtown Refuge,2022-09-22,0
MR,Batchtown Refuge,2022-10-10,70
MR,Batchtown Refuge,2022-10-19,4480
MR,Batchtown Refuge,2022-10-27,2465
MR,Batchtown Refuge,2022-11-07,7260
MR,Batchtown Refuge,2022-11-14,10000
MR,Batchtown Refuge,2022-11-22,23000
MR,Batchtown Refuge,2022-12-01,29000
MR,Batchtown Refuge,2022-12-19,19070
MR,Batchtown Refuge,2022-12-27,0
MR,Batchtown Refuge,2023-01-09,8955
MR,Batchtown Refuge,2023-08-31,10
MR,Batchtown Refuge,2023-09-08,30
MR,Batchtown Refuge,2023-09-15,20
MR,Batchtown Refuge,2023-09-19,60
MR,Batchtown Refuge,2023-10-09,450
MR,Batchtown Refuge,2023-10-20,3410
MR,Batchtown Refuge,2023-10-30,14490
MR,Batchtown Refuge,2023-11-10,14000
MR,Batchtown Refuge,2023-11-15,13150
MR,Batchtown Refuge,2023-11-22,16530
MR,Batchtown Refuge,2023-11-28,33365
MR,Batchtown Refuge,2023-12-06,19090
MR,Batchtown Refuge,2023-12-13,21795
MR,Batchtown Refuge,2023-12-21,18050
MR,Batchtown Refuge,2024-01-03,25250
MR,Batchtown Refuge,2024-09-04,35
MR,Batchtown Refuge,2024-09-09,160
MR,Batchtown Refuge,2024-09-16,70
MR,Batchtown Refuge,2024-10-15,1810
MR,Batchtown Refuge,2024-10-24,5270
MR,Batchtown Refuge,2024-11-01,1890
MR,Batchtown Refuge,2024-11-06,895
MR,Batchtown Refuge,2024-11-15,1650
MR,Batchtown Refuge,2024-11-26,4180
MR,Batchtown Refuge,2024-12-03,20315
MR,Batchtown Refuge,2024-12-09,10570
MR,Batchtown Refuge,2024-12-23,8655
MR,Batchtown Refuge,2025-01-03,6625
MR,Batchtown Refuge,2025-01-07,7510
MR,Batchtown Refuge,2025-08-27,0
MR,Batchtown Refuge,2025-09-11,0
MR,Batchtown Refuge,2025-09-19,0
MR,Batchtown Refuge,2025-10-14,105
MR,Batchtown Refuge,2025-10-31,4155
MR,Batchtown Refuge,2025-11-13,9800
MR,Batchtown Refuge,2025-11-28,22630
MR,Batchtown Refuge,2025-12-09,30000
MR,Batchtown Refuge,2025-12-16,26070
MR,Batchtown Refuge,2025-12-22,29120
MR,Batchtown Refuge,2026-01-02,27640
MR,Batchtown Refuge,2026-01-12,23950
IR,Big Lake,2018-10-12,790
IR,Big Lake,2018-10-18,1635
IR,Big Lake,2018-10-24,2880
IR,Big Lake,2018-11-02,725
IR,Big Lake,2018-11-09,2900
IR,Big Lake,2018-11-14,8035
IR,Big Lake,2018-11-20,1000
IR,Big Lake,2018-11-29,10050
IR,Big Lake,2018-12-07,5000
IR,Big Lake,2018-12-11,1000
IR,Big Lake,2018-12-17,2600
IR,Big Lake,2019-01-03,605
IR,Big Lake,2019-01-10,250
IR,Big Lake,2019-10-17,1505
IR,Big Lake,2019-10-28,5805
IR,Big Lake,2019-11-05,1900
IR,Big Lake,2019-11-14,3505
IR,Big Lake,2019-11-25,150
IR,Big Lake,2019-12-02,4260
IR,Big Lake,2019-12-18,0
IR,Big Lake,2019-12-23,55
IR,Big Lake,2020-01-02,105
IR,Big Lake,2020-01-08,40
IR,Big Lake,2020-10-16,4070
IR,Big Lake,2020-10-21,5635
IR,Big Lake,2020-10-28,4565
