location,latitude,longitude,survey_date,total_waterfowl
Ballard,37.06,-89.02,2017-01-04,35900
Ballard,37.06,-89.02,2017-02-03,39040
Ballard,37.06,-89.02,2017-02-15,11218
Ballard,37.06,-89.02,2018-02-14,25382
Ballard,37.06,-89.02,2018-02-15,17221
Ballard,37.06,-89.02,2019-02-15,23244
Ballard,37.06,-89.02,2019-11-22,18074
Ballard,37.06,-89.02,2019-12-06,24107
Ballard,37.06,-89.02,2019-12-13,21968
Ballard,37.06,-89.02,2019-12-20,46438
Ballard,37.06,-89.02,2020-12-17,17749
Ballard,37.06,-89.02,2020-12-23,41407
Ballard,37.06,-89.02,2021-01-14,46050
Ballard,37.06,-89.02,2021-01-21,27519
Ballard,37.06,-89.02,2021-01-28,42952
Ballard,37.06,-89.02,2021-02-04,46425
Ballard,37.06,-89.02,2021-12-01,18791
Ballard,37.06,-89.02,2021-12-08,19130
Ballard,37.06,-89.02,2021-12-15,27107
Ballard,37.06,-89.02,2021-12-22,10807
Ballard,37.06,-89.02,2021-12-29,33058
Ballard,37.06,-89.02,2022-01-05,25268
Ballard,37.06,-89.02,2022-11-17,9609
Ballard,37.06,-89.02,2022-12-01,44495
Ballard,37.06,-89.02,2022-12-13,26651
Ballard,37.06,-89.02,2022-12-20,68351
Ballard,37.06,-89.02,2023-01-03,49789
Ballard,37.06,-89.02,2023-01-10,41725
Ballard,37.06,-89.02,2023-01-18,57943
Ballard,37.06,-89.02,2023-11-30,22709
Ballard,37.06,-89.02,2023-12-06,20951
Ballard,37.06,-89.02,2023-12-19,38963
Ballard,37.06,-89.02,2024-01-04,36481
Ballard,37.06,-89.02,2024-01-09,63265
Ballard,37.06,-89.02,2024-01-16,90981
Ballard,37.06,-89.02,2024-11-14,9710
Ballard,37.06,-89.02,2024-11-27,16758
Ballard,37.06,-89.02,2024-12-05,13533
Ballard,37.06,-89.02,2024-12-10,15467
Ballard,37.06,-89.02,2024-12-17,14937
Ballard,37.06,-89.02,2024-12-26,19830
Ballard,37.06,-89.02,2025-01-02,23833
Ballard,37.06,-89.02,2025-01-08,35239
Ballard,37.06,-89.02,2025-01-15,40635
Ballard,37.06,-89.02,2025-01-23,100854
Ballard,37.06,-89.02,2025-01-30,20301
Ballard,37.06,-89.02,2025-02-05,40962
Boatwright,36.9,-88.99,2017-01-04,2000
Boatwright,36.9,-88.99,2017-02-03,3200
Boatwright,36.9,-88.99,2017-02-15,1010
Boatwright,36.9,-88.99,2018-02-14,321
Boatwright,36.9,-88.99,2018-02-15,7630
Boatwright,36.9,-88.99,2019-02-15,18789
Boatwright,36.9,-88.99,2019-11-22,969
Boatwright,36.9,-88.99,2019-12-06,2444
Boatwright,36.9,-88.99,2019-12-13,49044
Boatwright,36.9,-88.99,2019-12-20,14901
Boatwright,36.9,-88.99,2020-12-17,3779
Boatwright,36.9,-88.99,2020-12-23,5725
Boatwright,36.9,-88.99,2021-01-14,34136
Boatwright,36.9,-88.99,2021-01-21,1831
Boatwright,36.9,-88.99,2021-01-28,4070
Boatwright,36.9,-88.99,2021-02-04,2238
Boatwright,36.9,-88.99,2021-12-01,1087
Boatwright,36.9,-88.99,2021-12-15,12508
Boatwright,36.9,-88.99,2021-12-22,3912
Boatwright,36.9,-88.99,2021-12-29,2293
Boatwright,36.9,-88.99,2022-11-17,1546
Boatwright,36.9,-88.99,2022-12-01,478
Boatwright,36.9,-88.99,2022-12-15,2278
Boatwright,36.9,-88.99,2022-12-22,3094
Boatwright,36.9,-88.99,2023-01-05,3643
Boatwright,36.9,-88.99,2023-01-12,8137
Boatwright,36.9,-88.99,2023-01-19,3091
Boatwright,36.9,-88.99,2023-01-26,3720
Boatwright,36.9,-88.99,2023-11-30,302
Boatwright,36.9,-88.99,2023-12-07,853
Boatwright,36.9,-88.99,2023-12-21,2696
Boatwright,36.9,-88.99,2024-01-04,2195
Boatwright,36.9,-88.99,2024-01-10,2594
Boatwright,36.9,-88.99,2024-01-18,10100
Boatwright,36.9,-88.99,2024-11-14,263
Boatwright,36.9,-88.99,2024-11-27,763
Boatwright,36.9,-88.99,2024-12-05,226
Boatwright,36.9,-88.99,2024-12-11,5610
Boatwright,36.9,-88.99,2024-12-18,6826
Boatwright,36.9,-88.99,2024-12-26,4300
Boatwright,36.9,-88.99,2025-01-02,3940
Boatwright,36.9,-88.99,2025-01-08,23958
Boatwright,36.9,-88.99,2025-01-15,36351
Boatwright,36.9,-88.99,2025-01-22,30023
Boatwright,36.9,-88.99,2025-01-29,12570
Boatwright,36.9,-88.99,2025-02-05,3520
Doug Travis,36.75,-88.95,2019-11-21,4550
Doug Travis,36.75,-88.95,2019-12-02,3000
Doug Travis,36.75,-88.95,2019-12-11,2900
Doug Travis,36.75,-88.95,2019-12-19,10300
Doug Travis,36.75,-88.95,2020-01-02,9500
Doug Travis,36.75,-88.95,2020-12-15,840
Doug Travis,36.75,-88.95,2020-12-29,3582
Doug Travis,36.75,-88.95,2021-01-04,3070
Doug Travis,36.75,-88.95,2021-01-12,3400
Doug Travis,36.75,-88.95,2021-01-19,3550
Doug Travis,36.75,-88.95,2021-01-28,5560
Doug Travis,36.75,-88.95,2021-11-22,1500
Doug Travis,36.75,-88.95,2021-12-01,1050
Doug Travis,36.75,-88.95,2021-12-08,1018
Doug Travis,36.75,-88.95,2021-12-16,503
Doug Travis,36.75,-88.95,2021-12-20,262
Doug Travis,36.75,-88.95,2022-11-17,1445
Doug Travis,36.75,-88.95,2022-11-21,1600
Doug Travis,36.75,-88.95,2022-11-30,900
Doug Travis,36.75,-88.95,2022-12-07,890
Doug Travis,36.75,-88.95,2022-12-14,662
Doug Travis,36.75,-88.95,2022-12-20,392
Doug Travis,36.75,-88.95,2022-12-28,4500
Doug Travis,36.75,-88.95,2023-01-12,50
Doug Travis,36.75,-88.95,2023-01-18,585
Doug Travis,36.75,-88.95,2023-01-26,970
Doug Travis,36.75,-88.95,2023-11-30,500
Doug Travis,36.75,-88.95,2023-12-20,900
Doug Travis,36.75,-88.95,2023-12-27,1450
Doug Travis,36.75,-88.95,2024-01-03,1000
Doug Travis,36.75,-88.95,2024-01-11,5500
Doug Travis,36.75,-88.95,2024-01-18,4000
Doug Travis,36.75,-88.95,2024-01-24,5500
Doug Travis,36.75,-88.95,2024-02-01,9500
Doug Travis,36.75,-88.95,2024-11-20,200
Doug Travis,36.75,-88.95,2024-12-02,1500
Doug Travis,36.75,-88.95,2024-12-16,3000
Doug Travis,36.75,-88.95,2025-01-02,900
Doug Travis,36.75,-88.95,2025-01-29,8500
Duck Island,37.0,-88.9,2017-01-04,5500
Duck Island,37.0,-88.9,2017-02-15,1200
Duck Island,37.0,-88.9,2018-02-14,4000
Duck Island,37.0,-88.9,2019-02-15,3210
Duck Island,37.0,-88.9,2019-11-18,3300
Duck Island,37.0,-88.9,2019-12-04,2300
Duck Island,37.0,-88.9,2020-11-18,3950
Duck Island,37.0,-88.9,2020-12-29,4500
Duck Island,37.0,-88.9,2021-01-04,3155
Duck Island,37.0,-88.9,2021-12-03,4000
Duck Island,37.0,-88.9,2022-11-22,5100
Duck Island,37.0,-88.9,2023-11-29,2600
Duck Island,37.0,-88.9,2024-12-04,4200
Sloughs,37.77,-87.75,2019-11-25,4500
Sloughs,37.77,-87.75,2019-12-02,10250
Sloughs,37.77,-87.75,2019-12-11,12750
Sloughs,37.77,-87.75,2019-12-16,10700
Sloughs,37.77,-87.75,2020-01-06,6500
Sloughs,37.77,-87.75,2020-01-13,4450
Sloughs,37.77,-87.75,2020-01-22,10050
Sloughs,37.77,-87.75,2020-01-27,7783
Sloughs,37.77,-87.75,2020-12-14,8200
Sloughs,37.77,-87.75,2020-12-28,9840
Sloughs,37.77,-87.75,2021-01-11,5600
Sloughs,37.77,-87.75,2021-01-19,5920
Sloughs,37.77,-87.75,2021-01-25,13400
Sloughs,37.77,-87.75,2021-11-23,3500
Sloughs,37.77,-87.75,2021-11-29,6500
Sloughs,37.77,-87.75,2021-12-06,9500
Sloughs,37.77,-87.75,2021-12-13,6750
Sloughs,37.77,-87.75,2021-12-21,5700
Sloughs,37.77,-87.75,2021-12-27,4700
Sloughs,37.77,-87.75,2022-01-05,9300
Sloughs,37.77,-87.75,2022-11-16,2700
Sloughs,37.77,-87.75,2022-11-21,9700
Sloughs,37.77,-87.75,2022-11-30,1700
Sloughs,37.77,-87.75,2022-12-06,6700
Sloughs,37.77,-87.75,2022-12-12,4500
Sloughs,37.77,-87.75,2022-12-19,5300
Sloughs,37.77,-87.75,2022-12-26,6700
