# LDWF coastal-transect waterfowl population estimates, Louisiana Department of
# Wildlife & Fisheries. 74 monthly reports, 20 seasons 2004-05 to 2023-24.
# Source: wlf.louisiana.gov -> Resources -> Waterfowl -> Aerial Surveys,
#   assets/Resources/Publications/Waterfowl/Aerial-Surveys/
#     Louisiana_Aerial_Waterfowl_Survey_<Month>_<Year>.pdf
# Rebuild this file with: python3 extract_louisiana_pdfs.py <folder-of-PDFs>
#
# These are the 27-transect ZONE estimates flown coastwide below US-90, which is
# what the two Louisiana anchors describe. They are NOT the per-WMA counts in
# louisiana_wma_aerial.csv -- those cover a small subset of the same zone.
#
# ducks_teal_excluded = TOTAL DUCKS - BW TEAL - GW TEAL, all three read off the
# sheet, so teal exclusion is exact rather than estimated.
#
# LDWF flies four surveys a season: early September, early November, early
# December, early January. There is NO October flight and nothing after about
# January 11, so Oct1/Oct2 are interpolated and Jan2 is unmeasured.
#
# Validated against each sheet's own printed TOTALS column: 70 of 74 reconcile
# exactly. The other four are LDWF's own arithmetic -- in January 2018 the sheet
# prints TOTAL DUCKS of 2,136,000 for the southwest while its own dabbler and
# diver subtotals for that zone sum to 2,146,000.
zone,season,month,day,total_ducks,bw_teal,gw_teal,ducks_teal_excluded,source_file
SOUTHEAST,2004,1,4,1074000,7000,152000,915000,Louisiana_Aerial_Waterfowl_Survey_January_2005.pdf
SOUTHEAST,2004,9,13,70000,41000,0,29000,Louisiana_Aerial_Waterfowl_Survey_September_2004.pdf
SOUTHEAST,2004,11,8,207000,40000,19000,148000,Louisiana_Aerial_Waterfowl_Survey_November_2004.pdf
SOUTHEAST,2004,12,13,791000,15000,133000,643000,Louisiana_Aerial_Waterfowl_Survey_December_2004.pdf
SOUTHEAST,2005,1,3,802000,31000,57000,714000,Louisiana_Aerial_Waterfowl_Survey_January_2006.pdf
SOUTHEAST,2005,11,7,506000,36000,37000,433000,Louisiana_Aerial_Waterfowl_Survey_November_2005.pdf
SOUTHEAST,2005,12,12,1507000,42000,192000,1273000,Louisiana_Aerial_Waterfowl_Survey_December_2005.pdf
SOUTHEAST,2006,1,3,685000,2000,64000,619000,Louisiana_Aerial_Waterfowl_Survey_January_2007.pdf
SOUTHEAST,2006,9,11,51000,42000,0,9000,Louisiana_Aerial_Waterfowl_Survey_September_2006.pdf
SOUTHEAST,2006,11,7,598000,10000,34000,554000,Louisiana_Aerial_Waterfowl_Survey_November_2006.pdf
SOUTHEAST,2006,12,11,925000,29000,42000,854000,Louisiana_Aerial_Waterfowl_Survey_December_2006.pdf
SOUTHEAST,2007,1,11,419000,43000,52000,324000,Louisiana_Aerial_Waterfowl_Survey_January_2008.pdf
SOUTHEAST,2007,9,10,37000,21000,0,16000,Louisiana_Aerial_Waterfowl_Survey_September_2007.pdf
SOUTHEAST,2007,11,5,160000,22000,11000,127000,Louisiana_Aerial_Waterfowl_Survey_November_2007.pdf
SOUTHEAST,2007,12,10,795000,46000,11000,738000,Louisiana_Aerial_Waterfowl_Survey_December_2007.pdf
SOUTHEAST,2008,1,7,621000,29000,76000,516000,Louisiana_Aerial_Waterfowl_Survey_January_2009.pdf
SOUTHEAST,2008,9,8,19000,13000,0,6000,Louisiana_Aerial_Waterfowl_Survey_September_2008.pdf
