# Louisiana coastal WMA/Refuge aerial waterfowl surveys, LDWF.
# Source: wlf.louisiana.gov/resources/category/waterfowl/aerial-surveys ->
#   assets/Resources/Publications/Waterfowl/Aerial-Surveys/
#     Coastal_WMAs_and_Refuges_<Month>_<Year>.pdf   (Oct/Nov/Dec/Jan, 2004-2019)
# 160 dated per-area duck totals across 13 seasons and 9 areas.
#
# THIS DOES NOT REPRODUCE THE TWO LOUISIANA ANCHORS AND IS NOT USED FOR THEM.
# 'Louisiana coast' and 'SE Louisiana' carry abundances of 2,500,000 and 315,000 --
# they are LDWF's COASTAL TRANSECT ZONE estimates (27 transect lines), not sums of
# individual WMAs, which are a small subset of the zone. Rebuilding from these WMA
# totals gave wobble 2 against the shipped 1, with uneven bin support (Jan-1 n=3 but
# Jan-2 n=10), so no curve was changed. Committed because it is real dated fall data
# for coastal Louisiana and the transect reports were not locatable on the LDWF site.
wma,year,month,day,total_ducks
Atchafalaya Delta WMA,2005,12,14,4942
Atchafalaya Delta WMA,2006,10,31,1053
Atchafalaya Delta WMA,2006,12,7,5522
Atchafalaya Delta WMA,2007,1,25,6377
Atchafalaya Delta WMA,2007,11,5,3231
Atchafalaya Delta WMA,2007,12,7,1500
Atchafalaya Delta WMA,2008,1,14,1620
Atchafalaya Delta WMA,2008,10,30,352
Atchafalaya Delta WMA,2008,12,8,29526
Atchafalaya Delta WMA,2009,1,20,4149
Atchafalaya Delta WMA,2014,11,12,704
Atchafalaya Delta WMA,2018,1,31,50
Marsh Island WMA,2005,12,14,8130
Marsh Island WMA,2006,10,30,6120
Marsh Island WMA,2006,12,8,15744
Marsh Island WMA,2007,1,25,47212
Marsh Island WMA,2007,11,7,42896
Marsh Island WMA,2007,12,8,62789
Marsh Island WMA,2008,1,15,49612
Marsh Island WMA,2008,11,6,4818
Marsh Island WMA,2008,12,8,35591
Marsh Island WMA,2009,1,21,58101
Marsh Island WMA,2009,11,16,11994
Marsh Island WMA,2009,12,16,15424
Marsh Island WMA,2010,1,14,3000
Marsh Island WMA,2010,11,11,13484
