# USFWS Form NR-1 weekly waterfowl counts for 11 refuges, National Archives RG-22.
# Recovered for anchors that shipped with NO source data at all.
# The NARA 3-letter code for each refuge was VERIFIED from the sheet's own REFUGE
# header (BDA='Bosque del Apache', QVR=', Stafford, Kansas' which is Quivira's
# location, BTL='Bitter Lake National Wildl', etc). refuge_header is kept per row
# so that mapping stays auditable.
# median_err is the sheet's own per-species days-use column vs sum(weekly)*7.
# WEEK 1 IS ASSUMED = SEP 1 and is NOT verified per refuge -- see ANCHOR_RULES.md;
# the convention is refuge-specific and a wrong guess shifts a curve up to ~6 days.
anchor,refuge_header,season,week,week_start,ducks_teal_excluded,n_cols,median_err
Aransas,кauлая.,1961,1,1961-09-01,475,6,0.1029
Aransas,кauлая.,1961,2,1961-09-08,4755,6,0.1029
Aransas,кauлая.,1961,3,1961-09-15,2600,6,0.1029
Aransas,кauлая.,1961,4,1961-09-22,450,6,0.1029
Aransas,кauлая.,1961,5,1961-09-29,6450,6,0.1029
Aransas,кauлая.,1961,6,1961-10-06,1400,6,0.1029
Aransas,кauлая.,1961,11,1961-11-10,7070,6,0.1029
Aransas,кauлая.,1961,12,1961-11-17,8465,6,0.1029
Aransas,кauлая.,1961,13,1961-11-24,9020,6,0.1029
Aransas,кauлая.,1961,14,1961-12-01,9745,6,0.1029
Aransas,кauлая.,1961,15,1961-12-08,9776,6,0.1029
Aransas,кauлая.,1961,16,1961-12-15,10330,6,0.1029
Aransas,кauлая.,1961,17,1961-12-22,10080,6,0.1029
Aransas,кauлая.,1961,18,1961-12-29,8515,6,0.1029
Aransas,ARAISAS.,1962,1,1962-09-01,41,6,0.2222
Aransas,ARAISAS.,1962,2,1962-09-08,500,6,0.2222
Aransas,ARAISAS.,1962,3,1962-09-15,3358,6,0.2222
Aransas,ARAISAS.,1962,4,1962-09-22,3157,6,0.2222
Aransas,ARAISAS.,1962,5,1962-09-29,4770,6,0.2222
Aransas,ARAISAS.,1962,6,1962-10-06,13300,6,0.2222
Aransas,ARAISAS.,1962,11,1962-11-10,18070,6,0.2222
Aransas,ARAISAS.,1962,12,1962-11-17,19915,6,0.2222
Aransas,ARAISAS.,1962,13,1962-11-24,12150,6,0.2222
Aransas,ARAISAS.,1962,14,1962-12-01,10490,6,0.2222
Aransas,ARAISAS.,1962,15,1962-12-08,14096,6,0.2222
Aransas,ARAISAS.,1962,16,1962-12-15,13875,6,0.2222
