id,date,location,zone,species,species_category,count,query_run_date
4,1990-12-04,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,3,2026-02-05
5,1990-12-17,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,3,2026-02-05
7,1991-01-14,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,58,2026-02-05
14,1991-12-03,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,40,2026-02-05
17,1992-01-21,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,56,2026-02-05
25,1992-12-15,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,225,2026-02-05
26,1993-01-07,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,8,2026-02-05
33,1993-11-30,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,75,2026-02-05
35,1994-01-05,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,25,2026-02-05
44,1994-12-15,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,10,2026-02-05
45,1995-01-03,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,125,2026-02-05
46,1995-01-18,Alum Creek Lake State Park,North Zone,American Black Duck,Dabblers,20,2026-02-05
64,1998-01-30,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,10,2026-02-05
65,1998-02-13,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,20,2026-02-05
66,1998-03-02,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,17,2026-02-05
78,1999-01-29,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,239,2026-02-05
80,1999-02-16,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,125,2026-02-05
96,2000-03-13,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,15,2026-02-05
108,2001-02-28,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,105,2026-02-05
110,2001-04-02,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,12,2026-02-05
122,2002-02-13,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,150,2026-02-05
123,2002-02-28,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,150,2026-02-05
125,2002-03-29,Big Island Wildlife Area,North Zone,American Black Duck,Dabblers,47,2026-02-05
139,1985-10-29,Brush Creek Wildlife Area,Ohio River Zone,American Black Duck,Dabblers,25,2026-02-05
142,1985-12-17,Brush Creek Wildlife Area,Ohio River Zone,American Black Duck,Dabblers,29,2026-02-05
143,1986-01-06,Brush Creek Wildlife Area,Ohio River Zone,American Black Duck,Dabblers,500,2026-02-05
144,1986-01-14,Brush Creek Wildlife Area,Ohio River Zone,American Black Duck,Dabblers,250,2026-02-05
148,1986-10-15,Brush Creek Wildlife Area,Ohio River Zone,American Black Duck,Dabblers,2,2026-02-05
149,1986-11-01,Brush Creek Wildlife Area,Ohio River Zone,American Black Duck,Dabblers,10,2026-02-05
