# Parker River NWR (MA) weekly waterfowl counts, USFWS Form NR-1 census sheets.
# Source: National Archives RG-22, nara-media S3, PKR_<year>_* narrative reports.
# DUCKS ONLY, teal excluded to match the rest of the anchor cloud; geese, swans,
# coot and brant are on the form but are not counted here.
# Week 1 begins SEP 1 at this refuge -- read off the 1960 sheet (first column
# printed 9/1-7) and confirmed on 1968 (fourth column 9/22-28, eighteenth 12/29-31).
# This differs from Agassiz, where week 1 is the Sunday on or before Sep 1.
# median_err is the sheet's own per-species 'estimated waterfowl days use' column
# checked against sum(weekly counts)*7; n_cols is how many week columns OCR'd.
season,week,week_start,ducks_teal_excluded,n_cols,median_err
1954,1,1954-09-01,1733,7,
1954,2,1954-09-08,2035,7,
1954,3,1954-09-15,2809,7,
1954,4,1954-09-22,3039,7,
1954,5,1954-09-29,3064,7,
1954,6,1954-10-06,2828,7,
1954,7,1954-10-13,3924,7,
1954,11,1954-11-10,6400,7,
1954,12,1954-11-17,6406,7,
1954,13,1954-11-24,54,7,
1954,14,1954-12-01,6775,7,
1954,15,1954-12-08,2440,7,
1954,16,1954-12-15,3094,7,
1956,1,1956-09-01,700,6,
1956,2,1956-09-08,390,6,
1956,3,1956-09-15,420,6,
1956,4,1956-09-22,620,6,
1956,5,1956-09-29,1606,6,
1956,6,1956-10-06,2100,6,
1956,11,1956-11-10,462,6,
1957,1,1957-09-01,760,7,
1957,2,1957-09-08,830,7,
1957,3,1957-09-15,900,7,
1957,4,1957-09-22,1270,7,
1957,5,1957-09-29,1058,7,
1957,6,1957-10-06,1580,7,
1957,7,1957-10-13,3455,7,
1957,11,1957-11-10,90,7,
1961,1,1961-09-01,380,6,
1961,2,1961-09-08,560,6,
1961,3,1961-09-15,400,6,
1961,4,1961-09-22,2098,6,
1961,5,1961-09-29,1500,6,
1961,6,1961-10-06,1160,6,
1961,11,1961-11-10,1920,6,
1961,12,1961-11-17,2795,6,
1961,13,1961-11-24,1965,6,
1961,14,1961-12-01,4050,6,
1961,15,1961-12-08,4990,6,
1961,16,1961-12-15,4530,6,
1961,17,1961-12-22,4350,6,
1961,18,1961-12-29,4350,6,
1962,1,1962-09-01,550,7,266.4
1962,2,1962-09-08,710,7,266.4
1962,3,1962-09-15,270,7,266.4
1962,4,1962-09-22,2660,7,266.4
1962,5,1962-09-29,2218,7,266.4
1962,6,1962-10-06,620,7,266.4
1962,7,1962-10-13,14210,7,266.4
1962,11,1962-11-10,5600,7,266.4
1962,12,1962-11-17,2020,7,266.4
