# Summer Lake Wildlife Area (OR) weekly waterfowl counts, Oregon Dept of Fish & Wildlife.
# Source: myodfw.com/summer-lake-weekly-waterfowl-counts ->
#   dfw.state.or.us/.../summer_lake/2024/'2024-25 SLWA Waterfowl Survey Summary to date.pdf'
# ONE PDF holds ELEVEN SEASONS (2014-2024) of weekly duck counts with explicit date
# ranges. ODFW has run weekly fall migration counts here since 1990.
# DUCKS table only; geese, swans and coots are separate tables in the same PDF.
# Teal are not broken out, so teal are INCLUDED here (as for Kentucky and Arkansas).
# Blank cells are real gaps -- columns were read by x-position (pypdf layout mode),
# not by splitting on whitespace, which would misalign rows with missing years.
season,week_start,week_end,ducks
2014,9/1,9/7,18098
2015,9/1,9/7,31156
2016,9/1,9/7,35017
2017,9/1,9/7,30712
2018,9/1,9/7,32368
2019,9/1,9/7,58619
2014,9/8,9/14,24839
2015,9/8,9/14,17828
2016,9/8,9/14,24985
2017,9/8,9/14,12391
2018,9/8,9/14,21817
2019,9/8,9/14,34466
2014,9/15,9/21,34691
2015,9/15,9/21,35494
2016,9/15,9/21,37915
2017,9/15,9/21,25009
2018,9/15,9/21,27134
2019,9/15,9/21,35799
2021,9/15,9/21,31781
2022,9/15,9/21,40734
2023,9/15,9/21,35881
2014,9/22,9/28,47582
2015,9/22,9/28,29443
2016,9/22,9/28,49146
2017,9/22,9/28,33955
2018,9/22,9/28,18553
2019,9/22,9/28,28014
2020,9/22,9/28,51099
2021,9/22,9/28,45566
2022,9/22,9/28,34263
2023,9/22,9/28,48361
2024,9/22,9/28,52421
2014,9/29,10/5,31447
2015,9/29,10/5,25743
2016,9/29,10/5,63646
2017,9/29,10/5,40837
2018,9/29,10/5,39346
2019,9/29,10/5,46067
2020,9/29,10/5,70752
2021,9/29,10/5,34544
2022,9/29,10/5,42604
2023,9/29,10/5,58977
2024,9/29,10/5,61335
2014,10/6,10/12,42968
2015,10/6,10/12,63086
2016,10/6,10/12,51879
2017,10/6,10/12,42785
2018,10/6,10/12,42368
2019,10/6,10/12,39728
2020,10/6,10/12,59687
2021,10/6,10/12,60839
2022,10/6,10/12,36057
2023,10/6,10/12,97073
2024,10/6,10/12,50856
