# TWRA bi-weekly waterfowl refuge surveys, Tennessee Wildlife Resources Agency.
# Source: Tennessee State Library & Archives, Digital Tennessee,
#   digitaltennessee.tnsos.gov/wildlife_resources_waterfowl_counts (items 1-6).
# SIX SEASONS, 2015-16 through 2020-21. The site sits behind Cloudflare and
# refuses automated fetching, so the PDFs were downloaded by hand.
#
# ducks = the sheet's DUCKS column for that refuge on that date. Geese and
# sandhill cranes are excluded; note that TWRA folds cranes INTO its own printed
# Regional Total, so these rows will read low against that total by exactly the
# crane row. Reconciled against the printed Regional Total for Regions I and II:
# 14/14 columns exact in 2018-19, 2019-20 and 2020-21, and every residual in the
# other three seasons equals a crane row.
#
# Counts are made on the 1st and the 15th; TWRA's first count of the season is
# NOV 15, so this source has NO September or October coverage. February columns
# are outside the model window and are kept here but ignored by the parser.
# Cheatham Lake is the sum of its two sub-refuges (Dyson Ditch + Pardue Pond).
# Rebuild the curves with: python3 parse_tennessee.py
location,season,month,day,ducks
Black Bayou TN,2015,1,1,150462
Black Bayou TN,2015,1,4,188024
Black Bayou TN,2015,1,17,263100
Black Bayou TN,2015,11,15,9775
Black Bayou TN,2015,12,1,10516
Black Bayou TN,2015,12,15,80680
Black Bayou TN,2016,1,2,72686
Black Bayou TN,2016,1,17,107128
Black Bayou TN,2016,2,1,22300
Black Bayou TN,2016,11,15,3950
Black Bayou TN,2016,12,1,92650
Black Bayou TN,2016,12,15,45561
Black Bayou TN,2017,1,2,55850
Black Bayou TN,2017,2,1,80624
Black Bayou TN,2017,11,15,15850
Black Bayou TN,2017,12,1,1762
Black Bayou TN,2017,12,15,10837
Black Bayou TN,2018,1,7,11000
Black Bayou TN,2018,11,15,27055
Black Bayou TN,2018,12,1,2360
Black Bayou TN,2018,12,15,46500
Black Bayou TN,2019,1,1,46528
Black Bayou TN,2019,1,15,110
Black Bayou TN,2019,2,1,8665
Black Bayou TN,2019,11,15,8839
Black Bayou TN,2019,12,1,42146
Black Bayou TN,2019,12,15,58509
Black Bayou TN,2020,1,1,11090
Black Bayou TN,2020,1,15,9072
Black Bayou TN,2020,2,1,30530
Black Bayou TN,2020,11,15,5300
Black Bayou TN,2020,12,1,2300
Black Bayou TN,2020,12,15,1500
Cheatham Lake TN,2016,1,2,2227
Cheatham Lake TN,2016,1,17,2425
Cheatham Lake TN,2016,2,1,2040
Cheatham Lake TN,2016,11,15,2300
Cheatham Lake TN,2016,12,1,2672
Cheatham Lake TN,2016,12,15,2862
Cheatham Lake TN,2017,1,17,332
Cheatham Lake TN,2017,2,1,1095
Cheatham Lake TN,2017,11,15,1090
Cheatham Lake TN,2017,12,1,3225
Cheatham Lake TN,2017,12,15,2745
Cheatham Lake TN,2018,1,7,1980
Cheatham Lake TN,2018,1,15,1110
Cheatham Lake TN,2018,11,15,2740
Cheatham Lake TN,2018,12,1,3190
Cheatham Lake TN,2018,12,15,3040
Cheatham Lake TN,2019,1,1,2930
Cheatham Lake TN,2019,1,15,780
Cheatham Lake TN,2019,11,15,1765
Cheatham Lake TN,2019,12,1,1980
Cheatham Lake TN,2019,12,15,3430
Cheatham Lake TN,2020,1,1,3395
Cheatham Lake TN,2020,11,15,1470
Cheatham Lake TN,2020,12,1,2495
Cheatham Lake TN,2020,12,15,3015
Hop-In TN,2015,1,1,18010
Hop-In TN,2015,1,4,18010
Hop-In TN,2015,1,17,34700
Hop-In TN,2015,2,1,23200
Hop-In TN,2015,2,15,3250
Hop-In TN,2015,11,15,210
Hop-In TN,2015,12,1,250
Hop-In TN,2015,12,15,4000
