# Monthly duck populations from USFWS Texas coast refuge annual narrative reports,
# National Archives RG-22. Rebuild with: python3 extract_texas_pdfs.py
#
# The weekly NR-1 census form was discontinued around 1971 and every narrative for
# these refuges postdates it -- which is why they were written off here. They print
# MONTHLY tables instead ("Average Monthly Duck Populations and Annual Use Days"),
# the same input shape the Delaware anchors were built from.
#
# avg_ducks is the AVERAGE POPULATION over that month, not a peak count. That is a
# different statistic from the rest of the cloud, so these rebuild the curves only;
# the shipped abundances are retained (see parse_texas.py).
#
# evidence column:
#   corroborated        -- the cell passed the table's own printed column total, or
#                          the identical value appears in 2+ narratives written
#                          years apart (each report reprints the previous years).
#   single-report table -- a one-year table with no reprint to check against.
# Cells that appeared in several reports and DISAGREED were dropped entirely. That
# is what removed the bad Big Boggy years: its early cells hold prose rather than
# numbers ("No records prior to ownership on July 8, 1983"), shifting the remaining
# columns by one year, and its July values disagree between reports in exactly that
# pattern.
#
# Refuge identity is taken from the report's own running header, never from the
# folder name: SNB_1973..1976 are filed under San Bernard but their header reads
# BRAZORIA, and MATAGORDA_1988 reads ARANSAS -- these refuges were administered
# jointly and one narrative often covers several.
refuge,year,month,avg_ducks,evidence
Aransas,1981,1,673320,single-report table
Aransas,1981,2,5540,single-report table
Aransas,1981,3,4500,single-report table
Aransas,1981,4,1100,single-report table
Aransas,1981,5,1550,single-report table
Aransas,1981,6,15810,single-report table
Aransas,1981,7,9679,single-report table
Aransas,1981,8,275,single-report table
Aransas,1981,9,2400,single-report table
Aransas,1981,10,29963,single-report table
Aransas,1981,11,15405,single-report table
Aransas,1981,12,65190,single-report table
Big Boggy,1983,10,515,corroborated
Big Boggy,1983,11,761,corroborated
Big Boggy,1983,12,1113,corroborated
Big Boggy,1984,1,832,corroborated
Big Boggy,1984,2,925,corroborated
Big Boggy,1984,3,1060,corroborated
Big Boggy,1984,4,315,corroborated
Big Boggy,1984,5,40,corroborated
Big Boggy,1984,6,100,corroborated
Big Boggy,1984,9,585,corroborated
Big Boggy,1984,10,570,corroborated
Big Boggy,1984,11,1971,corroborated
Big Boggy,1984,12,1552,corroborated
Big Boggy,1985,1,1020,corroborated
Big Boggy,1985,2,1065,corroborated
Big Boggy,1985,3,1037,corroborated
Big Boggy,1985,4,340,corroborated
Big Boggy,1985,5,170,corroborated
Big Boggy,1985,6,100,corroborated
Big Boggy,1985,8,110,corroborated
Big Boggy,1985,9,170,corroborated
Big Boggy,1985,10,640,corroborated
Big Boggy,1985,11,473,corroborated
Big Boggy,1985,12,522,corroborated
Big Boggy,1986,1,1220,corroborated
Big Boggy,1986,2,822,corroborated
Big Boggy,1986,3,1035,corroborated
Big Boggy,1986,4,340,corroborated
Big Boggy,1986,5,140,corroborated
Big Boggy,1986,6,55,corroborated
Big Boggy,1986,8,120,corroborated
Big Boggy,1986,9,440,corroborated
Big Boggy,1986,10,1166,corroborated
Big Boggy,1986,11,4010,corroborated
Big Boggy,1986,12,6740,corroborated
Big Boggy,1987,1,5893,corroborated
Big Boggy,1987,2,6695,corroborated
Big Boggy,1987,3,5495,corroborated
Big Boggy,1987,4,470,corroborated
Big Boggy,1987,5,175,corroborated
Big Boggy,1987,8,150,corroborated
Big Boggy,1987,9,287,corroborated
Big Boggy,1987,10,3757,corroborated
Big Boggy,1987,12,6801,corroborated
Big Boggy,1988,1,8101,corroborated
Big Boggy,1988,2,3787,corroborated
Big Boggy,1988,3,1223,corroborated
Big Boggy,1988,4,622,corroborated
Big Boggy,1988,5,78,corroborated
Big Boggy,1988,6,67,corroborated
Big Boggy,1988,8,59,corroborated
Big Boggy,1988,9,339,corroborated
Big Boggy,1988,10,2686,corroborated
Big Boggy,1988,11,6338,corroborated
Big Boggy,1988,12,6495,corroborated
Big Boggy,1989,2,4682,corroborated
Big Boggy,1989,3,7415,corroborated
Big Boggy,1989,4,3126,corroborated
Big Boggy,1989,5,92,corroborated
Big Boggy,1989,6,25,corroborated
Big Boggy,1989,8,225,corroborated
Big Boggy,1989,9,1552,corroborated
Big Boggy,1989,10,1428,corroborated
Big Boggy,1989,11,2980,corroborated
Big Boggy,1990,2,6024,corroborated
Big Boggy,1990,3,6206,corroborated
Big Boggy,1990,4,2616,corroborated
Big Boggy,1990,5,113,corroborated
Big Boggy,1990,6,22,corroborated
Big Boggy,1990,7,59,corroborated
Big Boggy,1990,8,1598,corroborated
Big Boggy,1991,2,4415,corroborated
Big Boggy,1991,3,6526,corroborated
Big Boggy,1991,4,4192,corroborated
Big Boggy,1991,5,67,corroborated
Big Boggy,1991,6,60,corroborated
Big Boggy,1991,7,146,corroborated
Big Boggy,1991,8,75,corroborated
Big Boggy,1992,1,0,single-report table
Big Boggy,1992,2,0,single-report table
Big Boggy,1992,3,0,single-report table
Big Boggy,1992,4,18,corroborated
Big Boggy,1992,5,26,corroborated
Big Boggy,1992,6,364,corroborated
Big Boggy,1992,7,320,corroborated
Big Boggy,1992,8,604,corroborated
Big Boggy,1992,10,0,single-report table
Big Boggy,1992,11,0,single-report table
Big Boggy,1992,12,3,single-report table
Brazoria,1975,1,5830,corroborated
Brazoria,1975,2,6850,corroborated
Brazoria,1975,3,2400,corroborated
Brazoria,1975,4,385,corroborated
Brazoria,1975,5,410,corroborated
Brazoria,1975,6,451,corroborated
Brazoria,1975,7,511,corroborated
Brazoria,1975,8,575,corroborated
Brazoria,1975,9,2445,corroborated
Brazoria,1975,10,6512,corroborated
Brazoria,1975,11,9565,corroborated
Brazoria,1975,12,8305,corroborated
Brazoria,1976,1,5655,corroborated
Brazoria,1976,2,3445,corroborated
Brazoria,1976,3,1540,corroborated
Brazoria,1976,4,900,corroborated
Brazoria,1976,5,425,corroborated
Brazoria,1976,6,370,corroborated
Brazoria,1976,7,470,corroborated
Brazoria,1976,8,125,corroborated
Brazoria,1976,9,590,corroborated
Brazoria,1976,10,5471,corroborated
Brazoria,1976,11,9716,corroborated
Brazoria,1976,12,9911,corroborated
Brazoria,1977,1,3881,corroborated
Brazoria,1977,2,4901,corroborated
Brazoria,1977,3,2625,corroborated
Brazoria,1977,4,1273,corroborated
Brazoria,1977,5,470,corroborated
Brazoria,1977,6,425,corroborated
Brazoria,1977,7,235,corroborated
Brazoria,1977,8,245,corroborated
Brazoria,1977,9,1278,corroborated
Brazoria,1977,10,6024,corroborated
Brazoria,1977,11,7927,corroborated
Brazoria,1977,12,3417,corroborated
Brazoria,1979,1,6095,corroborated
Brazoria,1979,3,1685,corroborated
Brazoria,1979,5,490,corroborated
Brazoria,1979,6,325,corroborated
Brazoria,1979,7,240,corroborated
Brazoria,1979,8,350,corroborated
Brazoria,1979,9,675,corroborated
Brazoria,1979,11,1440,corroborated
Brazoria,1979,12,8064,corroborated
Brazoria,1980,1,5355,single-report table
Brazoria,1980,2,2021,single-report table
Brazoria,1980,3,1995,single-report table
Brazoria,1980,4,755,single-report table
Brazoria,1980,5,363,single-report table
Brazoria,1980,6,325,single-report table
Brazoria,1980,7,328,single-report table
Brazoria,1980,8,351,single-report table
Brazoria,1980,9,1696,single-report table
Brazoria,1980,10,3527,single-report table
Brazoria,1980,11,6565,single-report table
Brazoria,1980,12,8337,single-report table
Brazoria,1981,1,6950,corroborated
Brazoria,1981,2,5754,corroborated
Brazoria,1981,3,4266,corroborated
Brazoria,1981,4,2775,corroborated
Brazoria,1981,5,480,corroborated
Brazoria,1981,6,267,corroborated
Brazoria,1981,7,310,corroborated
Brazoria,1981,8,600,corroborated
Brazoria,1981,9,1500,corroborated
Brazoria,1981,10,4455,corroborated
Brazoria,1981,11,10658,corroborated
Brazoria,1981,12,11822,corroborated
Brazoria,1982,1,13899,corroborated
Brazoria,1982,2,15546,corroborated
Brazoria,1982,3,13675,corroborated
Brazoria,1982,4,5275,corroborated
Brazoria,1982,5,475,corroborated
Brazoria,1982,6,240,corroborated
Brazoria,1982,7,376,corroborated
Brazoria,1982,8,320,corroborated
Brazoria,1982,9,386,corroborated
Brazoria,1982,10,825,corroborated
Brazoria,1982,11,2487,corroborated
Brazoria,1982,12,17506,corroborated
Brazoria,1983,1,17905,corroborated
Brazoria,1983,2,12550,corroborated
Brazoria,1983,3,14320,corroborated
Brazoria,1983,4,6475,corroborated
Brazoria,1983,5,425,corroborated
Brazoria,1983,6,285,corroborated
Brazoria,1983,7,305,corroborated
Brazoria,1983,8,336,corroborated
Brazoria,1983,9,767,corroborated
Brazoria,1983,10,2226,corroborated
Brazoria,1983,11,12959,corroborated
Brazoria,1983,12,10935,corroborated
Brazoria,1984,1,6499,corroborated
Brazoria,1984,2,6600,corroborated
Brazoria,1984,3,5010,corroborated
Brazoria,1984,4,215,corroborated
Brazoria,1984,5,90,corroborated
Brazoria,1984,6,200,corroborated
Brazoria,1984,7,210,corroborated
Brazoria,1984,8,125,corroborated
Brazoria,1984,9,640,corroborated
Brazoria,1984,10,1415,corroborated
Brazoria,1984,11,8045,corroborated
Brazoria,1984,12,6975,corroborated
Brazoria,1985,1,3655,corroborated
Brazoria,1985,2,8675,corroborated
Brazoria,1985,3,4160,corroborated
Brazoria,1985,4,3525,corroborated
Brazoria,1985,5,270,corroborated
Brazoria,1985,6,120,corroborated
Brazoria,1985,7,225,corroborated
Brazoria,1985,8,401,corroborated
Brazoria,1985,9,570,corroborated
Brazoria,1985,10,3284,corroborated
Brazoria,1985,11,5152,corroborated
Brazoria,1985,12,2940,corroborated
Brazoria,1986,1,4833,corroborated
Brazoria,1986,2,6470,corroborated
Brazoria,1986,3,4285,corroborated
Brazoria,1986,4,675,corroborated
Brazoria,1986,5,160,corroborated
Brazoria,1986,6,85,corroborated
Brazoria,1986,7,170,corroborated
Brazoria,1986,8,350,corroborated
Brazoria,1986,9,210,corroborated
Brazoria,1986,10,4412,corroborated
Brazoria,1986,11,5497,corroborated
Brazoria,1986,12,11683,corroborated
Brazoria,1992,1,10,single-report table
Brazoria,1992,2,4,single-report table
Brazoria,1992,3,8,single-report table
Brazoria,1992,9,5,single-report table
Brazoria,1992,10,7,single-report table
Brazoria,1992,11,3,single-report table
Brazoria,1992,12,7,single-report table
McFaddin,1987,1,19321,single-report table
McFaddin,1987,2,34212,single-report table
McFaddin,1987,10,6375,single-report table
McFaddin,1987,11,16495,single-report table
McFaddin,1987,12,15640,single-report table
McFaddin,1988,1,7116,single-report table
McFaddin,1988,2,7823,single-report table
McFaddin,1988,10,1487,single-report table
McFaddin,1988,11,1299,single-report table
McFaddin,1988,12,11246,single-report table
McFaddin,2001,1,28635,single-report table
McFaddin,2001,3,43624,single-report table
McFaddin,2001,9,16631,single-report table
McFaddin,2001,10,78,single-report table
McFaddin,2001,11,16231,single-report table
McFaddin,2001,12,1517,single-report table
San Bernard,1978,1,9455,single-report table
San Bernard,1978,2,6923,single-report table
San Bernard,1978,3,3881,single-report table
San Bernard,1978,5,481,single-report table
San Bernard,1978,6,423,single-report table
San Bernard,1978,7,403,single-report table
San Bernard,1978,8,396,single-report table
San Bernard,1978,9,2807,single-report table
San Bernard,1978,10,6011,single-report table
San Bernard,1978,11,9123,single-report table
San Bernard,1978,12,12416,single-report table
San Bernard,1979,1,9455,single-report table
San Bernard,1979,2,6923,single-report table
San Bernard,1979,3,3881,single-report table
San Bernard,1979,4,1478,single-report table
San Bernard,1979,5,481,single-report table
San Bernard,1979,6,360,corroborated
San Bernard,1979,7,300,corroborated
San Bernard,1979,8,375,corroborated
San Bernard,1979,9,995,corroborated
San Bernard,1979,10,5370,corroborated
San Bernard,1979,11,5340,corroborated
San Bernard,1979,12,7807,corroborated
San Bernard,1980,1,9829,single-report table
San Bernard,1980,2,6152,single-report table
San Bernard,1980,3,3672,single-report table
San Bernard,1980,4,1670,single-report table
San Bernard,1980,5,499,single-report table
San Bernard,1980,6,414,single-report table
San Bernard,1980,7,388,single-report table
San Bernard,1980,8,393,single-report table
San Bernard,1980,9,2548,single-report table
San Bernard,1980,10,5919,single-report table
San Bernard,1980,11,8583,single-report table
San Bernard,1980,12,11758,single-report table
San Bernard,1981,1,2136,corroborated
San Bernard,1981,2,2568,corroborated
San Bernard,1981,3,2544,corroborated
