season,survey_col,divers,dabblers,total_ducks
1996,1-Oct,25,2665,2690
1996,7-Oct,510,1741,2251
1996,14-Oct,12260,3835,16095
1996,21-Oct,86315,8475,94790
1996,28-Oct,199340,19075,218415
1996,4-Nov,232590,17375,249965
1996,11-Nov,138537,10195,148732
1996,18-Nov,114701,10745,125446
1996,25-Nov,,,
1996,2-Dec,,,
1997,1-Oct,45,4705,4750
1997,7-Oct,930,7050,7980
1997,14-Oct,5030,2885,7915
1997,21-Oct,72745,12580,85325
1997,28-Oct,177730,12000,189730
1997,4-Nov,355670,34510,390180
1997,11-Nov,290030,34690,324720
1997,18-Nov,269755,32665,302420
1997,25-Nov,49615,17415,67030
1997,2-Dec,575,65,640
1998,1-Oct,941,7330,8271
1998,7-Oct,7870,10625,18495
1998,14-Oct,26955,24085,51040
1998,21-Oct,64230,12675,76905
1998,28-Oct,395150,38050,433200
1998,4-Nov,250680,21350,272030
1998,11-Nov,268525,18025,286550
1998,18-Nov,307915,23345,331260
1998,25-Nov,347300,21701,369001
1998,2-Dec,263900,18530,282430
1999,1-Oct,45,13685,13730
1999,7-Oct,10668,10290,20958
1999,14-Oct,62952,9865,72817
1999,21-Oct,180300,13890,194190
1999,28-Oct,479290,22585,501875
1999,4-Nov,544840,22235,567075
1999,11-Nov,326750,10605,337355
1999,18-Nov,349585,14035,363620
1999,25-Nov,161335,10615,171950
1999,2-Dec,220875,31780,252655
2000,1-Oct,13635,17285,30920
2000,7-Oct,73175,16230,89405
2000,14-Oct,214730,34915,249645
2000,21-Oct,269175,27480,296655
2000,28-Oct,323620,20010,343630
2000,4-Nov,287550,33020,320570
2000,11-Nov,199950,35650,235600
2000,18-Nov,163750,33515,197265
2000,25-Nov,77785,30195,107980
2000,2-Dec,11590,1350,12940
2001,1-Oct,9025,9900,18925
2001,7-Oct,26120,9630,35750
2001,14-Oct,122850,16240,139090
2001,21-Oct,185800,15980,201780
2001,28-Oct,248745,15725,264470
2001,4-Nov,211990,20905,232895
2001,11-Nov,110495,19080,129575
2001,18-Nov,301730,33410,335140
2001,25-Nov,,,
2001,2-Dec,,,
2002,1-Oct,,,
2002,7-Oct,7150,10745,17895
2002,14-Oct,204350,20750,225100
2002,21-Oct,367150,14650,381800
2002,28-Oct,245125,15125,260250
2002,4-Nov,200280,18500,218780
2002,11-Nov,155355,21875,177230
2002,18-Nov,113440,15580,129020
2002,25-Nov,27445,19710,47155
2002,2-Dec,,,
2003,1-Oct,195,11006,11201
2003,7-Oct,6810,14327,21137
2003,14-Oct,40030,15840,55870
2003,21-Oct,139134,20300,159434
2003,28-Oct,389240,28340,417580
2003,4-Nov,407645,29060,436705
2003,11-Nov,285362,11855,297217
2003,18-Nov,157705,16045,173750
2003,25-Nov,125660,24355,150015
2003,2-Dec,33410,7810,41220
2004,1-Oct,,,
2004,7-Oct,130,2745,2875
2004,14-Oct,21115,26545,47660
2004,21-Oct,74205,19350,93555
2004,28-Oct,200775,30130,230905
2004,4-Nov,299470,41525,340995
2004,11-Nov,260125,27210,287335
2004,18-Nov,305405,27295,332700
2004,25-Nov,232355,17122,249477
2004,2-Dec,158355,38420,196775
2005,1-Oct,,4785,4785
2005,7-Oct,,,
2005,14-Oct,38770,7375,46145
2005,21-Oct,153995,20785,174780
2005,28-Oct,233010,23030,256040
2005,4-Nov,461790,40910,502700
2005,11-Nov,465075,42400,507475
2005,18-Nov,133197,29900,163097
2005,25-Nov,198075,25030,223105
2005,2-Dec,26565,15140,41705
2006,1-Oct,265,21560,21825
2006,7-Oct,,,
2006,14-Oct,0,,0
2006,21-Oct,216065,33245,249310
2006,28-Oct,338220,9495,347715
2006,4-Nov,322430,33265,355695
2006,11-Nov,,,
2006,18-Nov,122975,45725,168700
2006,25-Nov,82147,23350,105497
2006,2-Dec,195,2865,3060
2007,1-Oct,2825,19865,22690
2007,7-Oct,5800,18520,24320
2007,14-Oct,26015,28790,54805
2007,21-Oct,225440,32475,257915
2007,28-Oct,317560,36115,353675
